epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,generalization_gap
1,0.0003,0.6268803730510961,0.663386494740414,0.6441792654203581,0.6381381381381381,0.025248356602275868
2,0.0003,0.5826830370449639,0.7210722768917543,0.7621146998963915,0.521021021021021,0.20005125587073336
3,0.0003,0.5719861790290072,0.7231082456735664,0.614387557134256,0.6786786786786787,0.04442956699488765
4,0.0003,0.5640164201527399,0.7298948082796064,0.6226470126762046,0.6876876876876877,0.04220712059191867
5,0.0003,0.5585673403489133,0.7197149643705463,0.5532400855072984,0.7357357357357357,-0.016020771365189423
6,0.0003,0.5447480364051317,0.7251442144553784,0.5992789826951586,0.7072072072072072,0.017937007248171155
7,0.0003,0.5422590141341692,0.7248048863250763,0.7675450768198695,0.6216216216216216,0.10318326470345474
8,0.0003,0.5455156710892561,0.7183576518493383,0.7547810786479229,0.527027027027027,0.19133062482231133
9,0.0003,0.5097174544859466,0.7488971835765185,0.6550502361836018,0.6966966966966966,0.05220048687982182
10,0.0003,0.5155015341459713,0.7431286053613845,0.5654018154373398,0.7252252252252253,0.01790338013615922
11,0.00015,0.49216564346015107,0.7519511367492365,0.5480284594200753,0.7717717717717718,-0.019820635022535282
12,0.00015,0.48760603681272435,0.7658635900916186,0.707892390342804,0.6936936936936937,0.07216989639792493
13,0.00015,0.4780656983680874,0.7648456057007126,0.5331715449198589,0.7567567567567568,0.008088848943955784
14,0.00015,0.4757358622745129,0.7641669494401085,0.8359183806914825,0.6771771771771772,0.08698977226293136
15,0.00015,0.46659246100220875,0.7780794027824907,0.5613835430718042,0.7312312312312312,0.04684817155125942
16,0.00015,0.4713036425849078,0.7719714964370546,0.5425799523029957,0.7447447447447447,0.027226751692309925
17,0.00015,0.4537491250794582,0.7828299966067187,0.579098735485707,0.7297297297297297,0.05310026687698899
18,0.00015,0.44831506401795956,0.7940278249066848,0.5318778262840019,0.7282282282282282,0.06579959667845658
19,0.00015,0.45468122426396435,0.7797760434340006,0.6566143512009859,0.7252252252252253,0.05455081820877539
20,0.00015,0.44314956110859466,0.7882592466915507,0.5432799700144175,0.7102102102102102,0.07804903648134043
21,0.00015,0.4393606749396426,0.7953851374278927,0.5999652505278945,0.7162162162162162,0.07916892121167651
22,0.00015,0.4314648951964739,0.8089582626399728,0.6169340911212268,0.6936936936936937,0.11526456894627912
23,0.00015,0.42791841839748923,0.8035290125551409,0.5743472103600029,0.7342342342342343,0.06929477832090658
24,7.5e-05,0.4196415770132743,0.8048863250763488,0.6437298403129922,0.6831831831831832,0.12170314189316567
25,7.5e-05,0.3998119713777116,0.8245673566338649,0.6030962778641297,0.6801801801801802,0.1443871764536847
26,7.5e-05,0.4039317509826256,0.8238887003732609,0.6148885842916127,0.6846846846846847,0.1392040156885762
27,7.5e-05,0.405487577471039,0.8164234815066169,0.5599322329770338,0.7012012012012012,0.1152222803054157
28,7.5e-05,0.3937278060052287,0.832371903630811,0.5983731030701875,0.6876876876876877,0.1446842159431233
29,3.75e-05,0.3845554828633686,0.835425856803529,0.5530195583452333,0.7117117117117117,0.12371414509181733
30,3.75e-05,0.38138041231929143,0.833389888021717,0.5715907651024896,0.7012012012012012,0.13218868682051577
