epoch,phase,train_loss,val_loss,train_accuracy,val_accuracy,head_lr,backbone_lr
1,warmup,0.6654854638519067,0.5325659619974302,0.6277570410587038,0.8273273273273273,0.001,0.0001
2,warmup,0.59301940847503,0.46764562992720277,0.6949440108585002,0.8258258258258259,0.001,0.0001
3,warmup,0.5872560772282575,0.46641041351868223,0.7098744485917883,0.8603603603603603,0.001,0.0001
4,finetune,0.41103701638819445,0.3112554096423828,0.833050559891415,0.9069069069069069,0.001,0.0001
5,finetune,0.26901674958297994,0.2580030795869169,0.9294197488971836,0.9474474474474475,0.001,0.0001
6,finetune,0.21205701184224224,0.22959683831031616,0.9633525619273838,0.963963963963964,0.001,0.0001
7,finetune,0.20351997993742363,0.24721237216088865,0.9623345775364778,0.9384384384384384,0.001,0.0001
8,finetune,0.2084300230428814,0.33233564863870807,0.9619952494061758,0.8858858858858859,0.001,0.0001
9,finetune,0.19330776527063864,0.25412387864009756,0.9714964370546318,0.9279279279279279,0.001,0.0001
10,finetune,0.1742951598032313,0.28133566664145876,0.9833729216152018,0.9444444444444444,0.001,0.0001
11,finetune,0.17923044889386647,0.2597178560835463,0.9796403121818799,0.9474474474474475,0.001,0.0001
12,finetune,0.1694380882375314,0.25440135821923837,0.9840515778758059,0.9159159159159159,0.0005,5e-05
13,finetune,0.15642740025049473,0.29317807363676235,0.98982015609094,0.8963963963963963,0.0005,5e-05
14,finetune,0.1636555583993985,0.3373395269876486,0.9850695622667119,0.8768768768768769,0.0005,5e-05
15,finetune,0.15935594905806186,0.32600187163453204,0.9881235154394299,0.8678678678678678,0.0005,5e-05
16,finetune,0.14893352564691,0.24399336120924792,0.9949100780454699,0.9444444444444444,0.0005,5e-05
